reading_id,station,timestamp,temperature,temp_unit,humidity_pct,wind_ms
R0232,Bravo,10.03.2025 22:15,12.1,C,58.3,7.6
R0362,Bravo,03/16/2025 08:00 AM,0.6,C,89.1,15.9
R0519,Alpha,2025-03-02 21:15,14.6,C,51.6,1.2
R0107,Delta,03/05/2025 05:15 PM,17.7,C,84.0,7.4
R0502,Alpha,02.03.2025 04:00,15.3,C,75.4,13.3
R0291,Delta,2025-03-13 09:00,6.7,C,n/a,1.1
R0561,Charlie,2025-03-04 15:15,13.7,C,"64,3",4.8
R0263,Alpha,03/12/2025 05:30 AM,18.3,C,55.0,8.1
R0309,Alpha,2025-03-14 03:15,61.9,F,61.9,8.2
R0438,Bravo,2025-03-19 12:30,7.0,C,37.5,6.0
R0462,Charlie,2025-03-20 12:00,51.6,F,85.3,12.1
R0253,Delta,11.03.2025 19:15,53.6,F,40.7,17.7
R0085,Bravo,04.03.2025 19:00,17.8,C,"36,8",4.6
R0222,Bravo,2025-03-10 12:00,12.7,C,46.8,15.0
R0361,Delta,16.03.2025 07:00,6.7,C,33.4,8.0
R0155,Charlie,03/07/2025 05:15 PM,16.8,C,"58,1",6.6
R0345,Delta,2025-03-15 15:15,9.5,C,84.1,6.6
R0379,Delta,17.03.2025 01:15,19.3,C,60.1,4.6
R0181,Bravo,08.03.2025 19:15,9.8,C,91.4,calm
R0380,Charlie,03/17/2025 02:15 AM,22.3,C,76.5,17.6
R0576,Bravo,2025-03-05 06:30,16.8,C,89.8,11.0
R0511,Delta,02.03.2025 13:00,63.3,F,84.7,3.4
R0444,Bravo,2025-03-19 18:15,22.2,C,93.3,14.7
R0014,Alpha,03/01/2025 08:30 PM,48.0,F,,4.8
R0427,Charlie,19.03.2025 01:00,15.9,C,72.1,14.4
R0433,Bravo,19.03.2025 07:15,15.7,C,"58,4",7.3
R0425,Delta,03/18/2025 11:30 PM,17.2,C,63.0,16.1
R0419,Charlie,03/18/2025 05:15 PM,11.3,C,"45,4",calm
R0389,Echo,03/17/2025 11:00 AM,54.9,F,84.8,2.6
R0238,Charlie,11.03.2025 04:30,8.2,C,67.9,5.0
R0132,Bravo,2025-03-06 18:00,54.5,F,90.8,1.9
R0424,Alpha,18.03.2025 22:15,53.8,F,90.1,4.7
R0349,Alpha,15.03.2025 19:00,43.9,F,77.3,2.7
R0004,Echo,01.03.2025 10:30,7.8,C,35.9,15.6
R0215,Bravo,03/10/2025 05:00 AM,14.7,C,37.7,16.7
R0568,Bravo,04.03.2025 22:15,2.1,C,44.1,8.7
R0094,Echo,05.03.2025 04:15,10.9,C,42.4,5.2
R0026,Bravo,03/02/2025 08:30 AM,63.3,F,67.2,12.9
R0098,Delta,03/05/2025 08:15 AM,5.9,C,40.7,7.2
R0591,Alpha,2025-03-05 21:15,63.3,F,63.0,13.5
R0029,Charlie,03/02/2025 11:00 AM,20.0,C,"46,6",16.3
R0159,Alpha,2025-03-07 21:30,7.3,C,60.2,7.0
R0123,Echo,2025-03-06 09:00,8.4,C,80.4,4.1
R0435,Charlie,2025-03-19 09:30,5.5,C,"39,3",2.3
R0418,Delta,18.03.2025 16:15,16.2,C,87.1,9.2
R0382,Delta,17.03.2025 04:00,50.7,F,"52,2",5.1
R0490,Charlie,01.03.2025 16:15,5.5,C,33.8,0.5
R0158,Charlie,03/07/2025 08:00 PM,7.2,C,85.5,12.5
R0459,Bravo,2025-03-20 09:30,8.2,C,-99,16.7
R0573,Delta,2025-03-05 03:30,14.8,C,85.1,1.2
R0360,Bravo,2025-03-16 06:30,54.9,F,93.6,12.9
R0437,Echo,03/19/2025 11:00 AM,31.5,F,81.2,12.2
R0315,Bravo,2025-03-14 09:15,69.8,F,"85,6",2.9
R0207,Echo,2025-03-09 21:30,10.4,C,31.7,9.0
R0001,Delta,01.03.2025 07:30,11.9,C,45.6,14.7
R0078,Charlie,2025-03-04 12:00,7.6,C,36.0,2.1
R0068,Echo,03/04/2025 02:00 AM,14.4,C,86.6,1.9
R0320,Bravo,03/14/2025 02:00 PM,18.6,C,78.9,1.8
R0191,Alpha,03/09/2025 05:15 AM,11.2,C,56.4,5.8
R0121,Delta,06.03.2025 07:00,6.0,C,"52,9",calm
R0421,Charlie,18.03.2025 19:30,11.9,C,n/a,17.5
R0293,Delta,03/13/2025 11:00 AM,14.5,C,42.8,14.2
R0045,Bravo,2025-03-03 03:30,12.0,C,39.2,5.6
R0375,Charlie,2025-03-16 21:15,7.0,C,63.1,5.0
R0285,Bravo,2025-03-13 03:00,18.4,C,79.2,12.3
R0566,Delta,03/04/2025 08:00 PM,20.1,C,"41,0",1.0
R0027,Echo,2025-03-02 09:30,10.7,C,66.6,14.1
R0289,Bravo,13.03.2025 07:15,9.3,C,35.5,6.3
R0230,Echo,03/10/2025 08:15 PM,41.5,F,47.3,calm
R0465,Alpha,2025-03-20 15:00,14.6,C,n/a,8.2
R0299,Bravo,03/13/2025 05:15 PM,12.3,C,87.0,calm
R0172,Echo,08.03.2025 10:00,9.0,C,"59,2",9.0
R0039,Echo,2025-03-02 21:15,18.4,C,"72,8",8.5
R0507,Alpha,2025-03-02 09:15,58.6,F,40.1,5.9
R0081,Charlie,2025-03-04 15:15,11.0,C,39.0,17.5
R0211,Charlie,10.03.2025 01:15,34.0,F,37.3,8.1
R0517,Delta,02.03.2025 19:00,11.6,C,73.0,8.5
R0168,Alpha,2025-03-08 06:00,50.9,F,,calm
R0352,Delta,15.03.2025 22:30,14.8,C,89.1,6.8
R0186,Delta,2025-03-09 00:30,48.9,F,56.1,calm
R0390,Charlie,2025-03-17 12:00,57.9,F,69.9,14.8
R0144,Charlie,2025-03-07 06:30,14.5,C,32.2,7.1
R0273,Bravo,2025-03-12 15:30,21.8,C,74.9,8.5
R0404,Bravo,03/18/2025 02:15 AM,11.6,C,-99,0.1
R0374,Delta,03/16/2025 08:15 PM,12.2,C,55.1,17.6
R0586,Bravo,05.03.2025 16:15,15.0,C,61.1,0.1
R0117,Alpha,2025-03-06 03:15,24.9,C,63.5,4.2
R0023,Echo,03/02/2025 05:15 AM,17.3,C,n/a,6.2
R0242,Charlie,03/11/2025 08:00 AM,17.2,C,64.8,9.2
R0546,Delta,2025-03-04 00:15,16.4,C,76.0,13.1
R0066,Alpha,2025-03-04 00:30,16.7,C,63.1,17.7
R0410,Charlie,03/18/2025 08:30 AM,9.8,C,49.9,11.3
R0128,Charlie,03/06/2025 02:00 PM,6.8,C,36.9,7.8
R0000,Charlie,2025-03-01 06:00,4.8,C,44.5,14.1
R0190,Alpha,09.03.2025 04:15,15.0,C,44.7,6.1
R0041,Bravo,03/02/2025 11:15 PM,1.5,C,59.7,12.1
R0195,Bravo,2025-03-09 09:00,11.6,C,37.4,16.9
R0266,Charlie,03/12/2025 08:00 AM,16.5,C,37.4,7.9
R0282,Bravo,2025-03-13 00:30,4.9,C,60.3,1.1
R0171,Bravo,2025-03-08 09:30,17.6,C,-99,7.5
R0366,Bravo,2025-03-16 12:00,13.8,C,82.7,13.0
R0474,Bravo,2025-03-21 00:00,17.7,C,73.1,0.5
R0381,Delta,2025-03-17 03:30,15.4,C,54.3,0.5
R0101,Delta,03/05/2025 11:00 AM,33.8,F,70.9,17.0
R0096,Alpha,2025-03-05 06:15,66.7,F,67.9,9.8
R0400,Bravo,17.03.2025 22:00,7.5,C,n/a,4.1
R0333,Charlie,2025-03-15 03:00,7.1,C,,15.1
R0120,Echo,2025-03-06 06:00,13.8,C,-99,7.6
R0312,Charlie,2025-03-14 06:15,19.0,C,-99,8.9
R0083,Echo,03/04/2025 05:15 PM,6.9,C,"64,5",0.7
R0048,Bravo,2025-03-03 06:30,11.7,C,"31,8",12.7
R0500,Alpha,03/02/2025 02:30 AM,22.0,C,54.0,7.9
R0234,Charlie,2025-03-11 00:30,16.8,C,37.8,1.3
R0572,Delta,03/05/2025 02:00 AM,17.7,C,"75,8",5.2
R0587,Delta,03/05/2025 05:00 PM,65.3,F,74.4,7.9
R0124,Delta,06.03.2025 10:00,13.8,C,57.8,4.2
R0307,Delta,14.03.2025 01:30,14.1,C,n/a,calm
R0319,Echo,14.03.2025 13:30,62.1,F,94.4,13.7
R0471,Delta,2025-03-20 21:15,28.0,F,69.1,13.7
R0330,Charlie,2025-03-15 00:30,15.5,C,85.4,8.8
R0050,Delta,03/03/2025 08:15 AM,69.6,F,"49,6",9.0
R0493,Alpha,01.03.2025 19:15,7.1,C,"58,8",16.1
R0516,Echo,2025-03-02 18:30,5.3,C,"44,9",calm
R0034,Charlie,02.03.2025 16:00,12.6,C,52.3,2.0
R0423,Delta,2025-03-18 21:30,1.1,C,50.2,1.0
R0180,Alpha,2025-03-08 18:00,-0.5,C,50.2,calm
R0468,Bravo,2025-03-20 18:30,-4.0,C,84.5,2.6
R0252,Bravo,2025-03-11 18:30,40.6,F,80.2,8.7
R0401,Bravo,03/17/2025 11:15 PM,46.9,F,36.5,6.1
R0453,Bravo,2025-03-20 03:30,4.6,C,86.7,1.2
R0594,Bravo,2025-03-06 00:00,15.7,C,39.5,0.9
R0398,Bravo,03/17/2025 08:15 PM,57.2,F,61.3,0.8
R0501,Bravo,2025-03-02 03:15,16.9,C,"38,3",5.3
R0540,Delta,2025-03-03 18:15,42.1,F,56.1,8.4
R0046,Echo,03.03.2025 04:30,10.0,C,"48,6",17.6
R0265,Echo,12.03.2025 07:15,16.5,C,63.9,4.8
R0329,Bravo,03/14/2025 11:30 PM,17.5,C,,13.5
R0321,Bravo,2025-03-14 15:30,74.7,F,"64,9",3.1
R0152,Alpha,03/07/2025 02:15 PM,10.0,C,37.7,5.0
R0486,Bravo,2025-03-01 12:00,59.2,F,33.1,14.7
R0555,Alpha,2025-03-04 09:15,16.8,C,-99,7.6
R0259,Charlie,12.03.2025 01:30,19.2,C,"87,8",14.2
R0510,Charlie,2025-03-02 12:00,12.1,C,34.9,13.2
R0314,Charlie,03/14/2025 08:30 AM,41.5,F,56.1,14.0
R0590,Bravo,03/05/2025 08:30 PM,20.8,C,85.2,17.0
R0233,Charlie,03/10/2025 11:00 PM,46.8,F,35.3,0.4
R0135,Charlie,2025-03-06 21:00,9.8,C,74.0,0.9
R0530,Charlie,03/03/2025 08:15 AM,13.8,C,94.1,3.9
R0047,Alpha,03/03/2025 05:30 AM,8.7,C,91.0,14.0
R0038,Charlie,03/02/2025 08:15 PM,63.3,F,32.5,14.8
R0326,Delta,03/14/2025 08:00 PM,2.8,C,32.3,8.3
R0486,Bravo,2025-03-01 12:00,59.2,F,33.1,14.7
R0030,Delta,2025-03-02 12:15,57.2,F,36.1,15.4
R0055,Charlie,03.03.2025 13:00,5.0,C,47.1,6.0
R0043,Delta,03.03.2025 01:30,17.2,C,35.5,2.5
R0077,Bravo,03/04/2025 11:15 AM,11.8,C,86.6,6.5
R0084,Alpha,2025-03-04 18:30,24.3,C,72.0,8.6
R0303,Charlie,2025-03-13 21:30,10.8,C,65.5,16.4
R0302,Charlie,03/13/2025 08:00 PM,9.3,C,59.4,5.4
R0417,Charlie,2025-03-18 15:30,7.1,C,78.9,1.2
R0231,Charlie,2025-03-10 21:30,24.9,C,77.6,6.4
R0087,Delta,2025-03-04 21:30,4.7,C,63.4,8.8
R0298,Charlie,13.03.2025 16:15,59.7,F,33.0,16.3
R0294,Echo,2025-03-13 12:30,37.8,F,43.7,10.2
R0308,Alpha,03/14/2025 02:30 AM,24.5,C,63.4,calm
R0192,Alpha,2025-03-09 06:00,10.7,C,39.4,6.4
R0413,Echo,03/18/2025 11:30 AM,-1.7,C,35.9,14.3
R0003,Echo,2025-03-01 09:30,3.6,C,35.8,2.5
R0449,Alpha,03/19/2025 11:00 PM,43.7,F,70.1,5.4
R0297,Charlie,2025-03-13 15:30,18.9,C,49.7,17.8
R0286,Alpha,13.03.2025 04:00,22.2,C,-99,2.2
R0090,Echo,2025-03-05 00:30,20.0,C,37.9,1.4
R0070,Delta,04.03.2025 04:15,17.9,C,72.3,3.4
R0460,Bravo,20.03.2025 10:30,16.9,C,n/a,16.2
R0257,Charlie,03/11/2025 11:30 PM,19.4,C,79.0,5.9
R0271,Echo,12.03.2025 13:15,41.4,F,"79,5",2.0
R0095,Alpha,03/05/2025 05:00 AM,10.8,C,,0.8
R0574,Alpha,05.03.2025 04:30,34.2,F,"38,9",5.5
R0599,Bravo,03/06/2025 05:30 AM,41.4,F,"33,1",12.4
R0088,Bravo,04.03.2025 22:30,2.5,C,"61,4",6.9
R0598,Alpha,06.03.2025 04:00,1.8,C,,calm
R0343,Charlie,15.03.2025 13:00,10.9,C,54.7,7.5
R0254,Delta,03/11/2025 08:30 PM,7.7,C,86.8,14.8
R0208,Alpha,09.03.2025 22:30,21.9,C,30.8,11.3
R0403,Bravo,18.03.2025 01:00,52.0,F,47.6,0.1
R0402,Charlie,2025-03-18 00:15,36.5,F,72.2,2.7
R0261,Bravo,2025-03-12 03:00,23.8,C,n/a,6.5
R0551,Bravo,03/04/2025 05:15 AM,61.2,F,,14.2
R0426,Delta,2025-03-19 00:15,2.5,C,"62,9",3.7
R0184,Bravo,08.03.2025 22:30,9.9,C,58.4,8.5
R0276,Alpha,2025-03-12 18:15,5.9,C,40.9,5.8
R0346,Alpha,15.03.2025 16:30,10.8,C,90.6,3.9
R0484,Alpha,01.03.2025 10:15,5.9,C,"37,5",3.3
R0491,Delta,03/01/2025 05:15 PM,14.9,C,64.6,10.8
R0076,Bravo,04.03.2025 10:00,31.8,F,43.0,11.9
R0439,Bravo,19.03.2025 13:30,35.4,F,83.7,14.1
R0442,Delta,19.03.2025 16:30,13.1,C,60.2,5.5
R0407,Echo,03/18/2025 05:00 AM,6.6,C,61.7,6.7
R0249,Delta,2025-03-11 15:15,15.4,C,52.0,1.6
R0272,Echo,03/12/2025 02:30 PM,14.0,C,39.4,14.6
R0264,Bravo,2025-03-12 06:00,13.3,C,33.1,12.9
R0409,Delta,18.03.2025 07:15,15.0,C,"44,8",10.3
R0358,Delta,16.03.2025 04:00,38.7,F,,4.6
R0597,Alpha,2025-03-06 03:00,46.8,F,"86,7",4.1
R0508,Bravo,02.03.2025 10:00,5.3,C,"52,4",16.0
R0059,Delta,03/03/2025 05:15 PM,14.2,C,,2.2
R0148,Delta,07.03.2025 10:30,8.9,C,,10.4
R0241,Echo,11.03.2025 07:00,10.8,C,38.3,0.4
R0274,Echo,12.03.2025 16:00,13.9,C,"60,4",5.0
R0154,Delta,07.03.2025 16:30,8.4,C,82.9,5.5
R0250,Delta,11.03.2025 16:00,5.2,C,77.8,1.6
R0455,Charlie,03/20/2025 05:30 AM,14.5,C,30.8,3.5
R0324,Charlie,2025-03-14 18:00,2.4,C,"86,1",12.6
R0588,Echo,2025-03-05 18:00,7.6,C,84.6,0.5
R0445,Delta,19.03.2025 19:00,54.3,F,44.6,3.6
R0520,Bravo,02.03.2025 22:30,-2.9,C,78.4,calm
R0543,Echo,2025-03-03 21:15,59.5,F,72.1,10.5
R0332,Alpha,03/15/2025 02:15 AM,12.5,C,n/a,6.2
R0537,Alpha,2025-03-03 15:00,48.2,F,79.7,12.2
R0198,Charlie,2025-03-09 12:00,16.2,C,71.3,15.3
R0193,Alpha,09.03.2025 07:00,13.1,C,35.5,11.7
R0480,Echo,2025-03-01 06:00,2.8,C,50.8,8.0
R0277,Delta,12.03.2025 19:00,12.4,C,55.9,17.4
R0269,Bravo,03/12/2025 11:30 AM,19.3,C,65.1,3.5
R0183,Alpha,2025-03-08 21:15,7.7,C,60.1,4.2
R0498,Echo,2025-03-02 00:00,29.3,F,47.8,5.9
R0327,Delta,2025-03-14 21:00,11.4,C,85.3,13.1
R0334,Charlie,15.03.2025 04:15,13.1,C,"47,8",0.6
R0106,Bravo,05.03.2025 16:15,5.8,C,44.8,15.2
R0365,Charlie,03/16/2025 11:00 AM,6.8,C,68.4,4.8
R0157,Charlie,07.03.2025 19:30,9.8,C,78.1,4.0
R0448,Bravo,19.03.2025 22:15,17.3,C,72.5,2.6
R0337,Charlie,15.03.2025 07:15,15.0,C,,13.6
R0389,Echo,03/17/2025 11:00 AM,54.9,F,84.8,2.6
R0331,Charlie,15.03.2025 01:00,30.4,C,81.9,calm
R0354,Delta,2025-03-16 00:30,4.7,C,55.8,17.1
R0456,Delta,2025-03-20 06:00,74.7,F,39.5,2.5
R0528,Charlie,2025-03-03 06:30,52.9,F,38.8,13.6
R0457,Delta,20.03.2025 07:30,15.5,C,66.4,7.9
R0415,Bravo,18.03.2025 13:15,47.7,F,36.2,2.2
R0514,Charlie,02.03.2025 16:30,51.6,F,73.0,calm
R0134,Alpha,03/06/2025 08:00 PM,12.6,C,"55,2",10.1
R0169,Bravo,08.03.2025 07:30,16.2,C,,11.3
R0032,Delta,03/02/2025 02:15 PM,24.2,C,74.3,17.0
R0105,Alpha,2025-03-05 15:00,39.6,F,50.2,8.0
R0270,Alpha,2025-03-12 12:15,5.8,C,,6.6
R0097,Echo,05.03.2025 07:00,5.6,C,-99,calm
R0428,Charlie,03/19/2025 02:15 AM,7.7,C,41.3,0.5
R0538,Charlie,03.03.2025 16:00,10.4,C,38.1,5.5
R0391,Echo,17.03.2025 13:30,0.6,C,,7.0
R0221,Delta,03/10/2025 11:00 AM,14.7,C,51.0,17.5
R0227,Alpha,03/10/2025 05:30 PM,6.2,C,84.4,9.9
R0485,Bravo,03/01/2025 11:30 AM,55.6,F,52.1,13.9
R0093,Echo,2025-03-05 03:30,72.9,F,73.4,17.3
R0359,Echo,03/16/2025 05:00 AM,10.1,C,54.2,17.0
R0496,Echo,01.03.2025 22:30,8.3,C,42.7,4.3
R0494,Delta,03/01/2025 08:00 PM,17.6,C,32.1,10.0
R0016,Bravo,01.03.2025 22:30,41.9,F,75.0,2.9
R0175,Echo,08.03.2025 13:00,12.6,C,36.9,0.4
R0223,Echo,10.03.2025 13:15,9.9,C,n/a,11.6
R0099,Bravo,2025-03-05 09:30,9.8,C,,13.6
R0119,Delta,03/06/2025 05:30 AM,13.3,C,35.6,17.1
R0288,Charlie,2025-03-13 06:30,44.4,F,"62,8",13.6
R0209,Echo,03/09/2025 11:15 PM,57.0,F,47.0,2.6
R0392,Delta,03/17/2025 02:00 PM,18.8,C,64.7,17.5
R0300,Delta,2025-03-13 18:15,16.2,C,,10.8
R0244,Charlie,11.03.2025 10:30,9.8,C,53.4,3.4
R0340,Charlie,15.03.2025 10:00,43.7,F,-99,3.5
R0196,Echo,09.03.2025 10:30,66.0,F,91.0,0.8
R0042,Bravo,2025-03-03 00:15,15.4,C,,17.2
R0189,Alpha,2025-03-09 03:00,12.6,C,76.8,16.5
R0388,Echo,17.03.2025 10:30,15.7,C,n/a,4.1
R0080,Alpha,03/04/2025 02:15 PM,8.8,C,47.5,8.6
R0246,Charlie,2025-03-11 12:00,14.1,C,46.9,11.4
R0037,Echo,02.03.2025 19:30,16.6,C,"39,6",8.6
R0058,Charlie,03.03.2025 16:15,63.7,F,"75,6",11.0
R0385,Bravo,17.03.2025 07:00,9.2,C,47.6,6.9
R0089,Echo,03/04/2025 11:00 PM,15.9,C,45.7,7.8
R0556,Echo,04.03.2025 10:15,13.9,C,"75,5",13.5
R0589,Echo,05.03.2025 19:30,-0.2,C,"35,8",7.4
R0467,Echo,03/20/2025 05:15 PM,10.4,C,65.3,13.8
R0322,Echo,14.03.2025 16:15,57.0,F,"48,1",16.9
R0011,Delta,03/01/2025 05:15 PM,9.4,C,84.0,1.8
R0344,Delta,03/15/2025 02:30 PM,44.4,F,57.5,13.0
R0544,Bravo,03.03.2025 22:30,14.7,C,35.7,17.9
R0125,Echo,03/06/2025 11:30 AM,50.4,F,32.2,5.2
R0202,Echo,09.03.2025 16:30,15.8,C,70.6,4.6
R0201,Echo,2025-03-09 15:00,16.3,C,47.2,8.4
R0513,Alpha,2025-03-02 15:15,10.3,C,85.6,9.7
R0147,Alpha,2025-03-07 09:30,50.5,F,31.8,9.0
R0527,Echo,03/03/2025 05:30 AM,7.9,C,74.2,1.9
R0188,Bravo,03/09/2025 02:00 AM,1.6,C,32.2,6.5
R0118,Alpha,06.03.2025 04:15,13.8,C,"70,8",14.7
R0567,Echo,2025-03-04 21:30,9.8,C,76.7,0.5
R0446,Alpha,03/19/2025 08:15 PM,15.9,C,38.8,5.6
R0585,Echo,2025-03-05 15:30,3.8,C,82.8,8.4
R0454,Delta,20.03.2025 04:30,57.0,F,57.4,5.3
R0024,Delta,2025-03-02 06:15,1.6,C,51.2,14.3
R0489,Alpha,2025-03-01 15:00,64.8,F,,6.4
R0395,Delta,03/17/2025 05:15 PM,12.0,C,73.1,10.6
R0051,Echo,2025-03-03 09:30,66.4,F,83.0,1.2
R0140,Alpha,03/07/2025 02:30 AM,11.3,C,-99,2.0
R0182,Echo,03/08/2025 08:30 PM,8.2,C,72.1,12.1
R0311,Bravo,03/14/2025 05:00 AM,18.9,C,69.8,calm
R0250,Delta,11.03.2025 16:00,5.2,C,77.8,1.6
R0488,Delta,03/01/2025 02:15 PM,62.6,F,-99,7.1
R0203,Echo,03/09/2025 05:15 PM,18.5,C,87.0,calm
R0177,Delta,2025-03-08 15:15,7.3,C,39.5,8.3
R0377,Charlie,03/16/2025 11:30 PM,61.3,F,51.8,5.1
R0229,Bravo,10.03.2025 19:30,37.9,F,66.8,17.9
R0161,Echo,03/07/2025 11:15 PM,14.2,C,47.2,calm
R0143,Echo,03/07/2025 05:30 AM,43.9,F,81.9,calm
R0031,Delta,02.03.2025 13:15,11.6,C,70.0,3.9
R0539,Alpha,03/03/2025 05:15 PM,9.2,C,71.9,4.8
R0336,Delta,2025-03-15 06:00,10.4,C,33.9,calm
R0227,Alpha,03/10/2025 05:30 PM,6.2,C,84.4,9.9
R0526,Alpha,03.03.2025 04:15,11.5,C,73.5,13.2
R0114,Charlie,2025-03-06 00:15,53.8,F,55.2,17.0
R0162,Bravo,2025-03-08 00:15,7.6,C,63.7,13.8
R0515,Charlie,03/02/2025 05:30 PM,11.3,C,41.7,13.1
R0092,Alpha,03/05/2025 02:00 AM,11.1,C,35.5,3.9
R0477,Bravo,2025-03-21 03:00,59.9,F,62.4,6.9
R0170,Alpha,03/08/2025 08:00 AM,9.8,C,86.9,6.3
R0470,Alpha,03/20/2025 08:15 PM,14.0,C,77.9,6.7
R0443,Delta,03/19/2025 05:15 PM,18.9,C,44.6,6.7
R0304,Charlie,13.03.2025 22:15,14.5,C,70.9,1.5
R0248,Echo,03/11/2025 02:00 PM,21.6,C,,8.6
R0056,Echo,03/03/2025 02:00 PM,12.7,C,56.0,7.4
R0258,Delta,2025-03-12 00:30,2.8,C,53.6,calm
R0395,Delta,03/17/2025 05:15 PM,12.0,C,73.1,10.6
R0017,Echo,03/01/2025 11:00 PM,10.1,C,82.5,0.3
R0512,Alpha,03/02/2025 02:00 PM,2.8,C,"45,3",13.8
R0149,Delta,03/07/2025 11:15 AM,5.2,C,n/a,15.7
R0228,Echo,2025-03-10 18:30,16.5,C,"46,2",4.0
R0179,Delta,03/08/2025 05:00 PM,8.8,C,82.8,15.5
R0245,Delta,03/11/2025 11:30 AM,17.0,C,77.0,7.1
R0165,Bravo,2025-03-08 03:30,53.2,F,80.0,13.8
